epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,757.766,1.89551,2.43414,1.60879,0.64695,0.4407,0.44193,0.24464,1.62137,1.60039,1.36926,0.00332656,0.00332656,0.00332656
2,1517.86,1.78591,1.85293,1.51898,0.59172,0.26357,0.28395,0.12625,1.9207,2.40275,1.59713,0.00665988,0.00665988,0.00665988
3,2242.12,1.88107,1.96407,1.59594,0.4138,0.19536,0.15959,0.0774,2.1358,3.35694,1.81091,0.00999313,0.00999313,0.00999313
4,2970.95,1.95387,2.08785,1.65883,0.50816,0.16552,0.1534,0.06166,2.17886,3.54082,1.92693,0.00999978,0.00999978,0.00999978
5,3981.73,1.87287,1.96535,1.61399,0.48788,0.39522,0.38845,0.20433,1.75056,1.86965,1.47913,0.00999961,0.00999961,0.00999961
6,4861.81,1.82578,1.88817,1.58105,0.51211,0.35357,0.37533,0.19122,1.69095,1.84763,1.46527,0.00999939,0.00999939,0.00999939
7,5942.21,1.78265,1.82901,1.55871,0.52667,0.38273,0.38878,0.21111,1.65394,1.84268,1.43268,0.00999912,0.00999912,0.00999912
8,6911.34,1.76327,1.78753,1.53496,0.50708,0.43727,0.46592,0.2544,1.67095,1.8533,1.44386,0.0099988,0.0099988,0.0099988
9,7624.66,1.73259,1.74571,1.52039,0.64908,0.5354,0.56599,0.31566,1.54815,1.63307,1.34552,0.00999844,0.00999844,0.00999844
10,8532.2,1.71402,1.72574,1.51695,0.56406,0.44283,0.48139,0.25909,1.58486,1.74553,1.39628,0.00999802,0.00999802,0.00999802
11,9387.99,1.6941,1.69026,1.51072,0.69814,0.43832,0.5261,0.29832,1.608,1.6566,1.41802,0.00999756,0.00999756,0.00999756
12,10154.1,1.67909,1.66855,1.49258,0.62917,0.48432,0.51403,0.28202,1.62622,1.74664,1.41942,0.00999704,0.00999704,0.00999704
13,11127.3,1.67401,1.64763,1.48382,0.71882,0.47626,0.55448,0.31279,1.52782,1.58487,1.34552,0.00999648,0.00999648,0.00999648
14,11978.6,1.65229,1.62243,1.47614,0.57583,0.48006,0.55016,0.31249,1.52321,1.52977,1.34499,0.00999587,0.00999587,0.00999587
15,12898.8,1.65308,1.62293,1.47837,0.48922,0.55747,0.51968,0.29611,1.55213,1.54759,1.36383,0.00999521,0.00999521,0.00999521
16,13652.8,1.63468,1.59933,1.46574,0.4742,0.47643,0.4847,0.27623,1.63547,1.82725,1.4417,0.0099945,0.0099945,0.0099945
17,14400.1,1.63542,1.57589,1.46287,0.72872,0.53996,0.60679,0.34163,1.50125,1.4878,1.3442,0.00999375,0.00999375,0.00999375
18,15186,1.6211,1.57222,1.45011,0.5136,0.49413,0.52451,0.30685,1.54626,1.5886,1.36549,0.00999294,0.00999294,0.00999294
19,15900.4,1.60678,1.54709,1.44743,0.7,0.6004,0.65698,0.38575,1.45757,1.41609,1.28362,0.00999209,0.00999209,0.00999209
20,16655.5,1.61156,1.54974,1.43827,0.61174,0.61995,0.62933,0.36963,1.43706,1.36045,1.27236,0.00999118,0.00999118,0.00999118
21,17436.1,1.60304,1.54085,1.43486,0.64664,0.5401,0.59826,0.36069,1.4502,1.42271,1.29619,0.00999023,0.00999023,0.00999023
22,18331.1,1.58272,1.51321,1.42074,0.69617,0.59003,0.64391,0.39021,1.44973,1.43092,1.295,0.00998923,0.00998923,0.00998923
23,19031.9,1.58099,1.51001,1.41874,0.64996,0.63943,0.64917,0.39724,1.42681,1.33958,1.28076,0.00998818,0.00998818,0.00998818
24,19762,1.58653,1.50289,1.41893,0.68879,0.48721,0.5915,0.33639,1.46621,1.46271,1.29171,0.00998708,0.00998708,0.00998708
25,20640.1,1.58062,1.49881,1.41854,0.58291,0.62166,0.64462,0.37851,1.454,1.40044,1.29255,0.00998594,0.00998594,0.00998594
26,21448.1,1.56552,1.48572,1.40632,0.63915,0.62388,0.65469,0.40483,1.42198,1.3172,1.26806,0.00998474,0.00998474,0.00998474
27,22158.3,1.5719,1.48026,1.41103,0.68844,0.61199,0.65907,0.40305,1.41864,1.2976,1.25935,0.0099835,0.0099835,0.0099835
28,23033.4,1.56144,1.46698,1.40822,0.73796,0.61627,0.68376,0.42426,1.40565,1.29092,1.25275,0.0099822,0.0099822,0.0099822
29,24042.7,1.56043,1.46395,1.40446,0.68095,0.60408,0.6774,0.40696,1.4213,1.34767,1.26671,0.00998086,0.00998086,0.00998086
30,24924.1,1.54492,1.45087,1.40918,0.6827,0.62435,0.66468,0.40662,1.41312,1.30952,1.26022,0.00997947,0.00997947,0.00997947
31,25861.2,1.54527,1.44972,1.40493,0.67322,0.60005,0.66495,0.40467,1.41272,1.27559,1.25841,0.00997803,0.00997803,0.00997803
32,26439.8,1.54307,1.43778,1.39054,0.6868,0.6264,0.70305,0.44588,1.38503,1.30805,1.25034,0.00997654,0.00997654,0.00997654
33,27161,1.53692,1.44037,1.40175,0.74516,0.60887,0.70897,0.45229,1.37443,1.23614,1.24518,0.00997501,0.00997501,0.00997501
34,28076.2,1.54219,1.42931,1.39207,0.65905,0.66154,0.7031,0.44683,1.37501,1.25197,1.23805,0.00997342,0.00997342,0.00997342
35,29045.2,1.52856,1.41906,1.39091,0.71112,0.65223,0.6931,0.43281,1.38251,1.24266,1.24177,0.00997179,0.00997179,0.00997179
36,29979.4,1.5281,1.42,1.39289,0.69804,0.69092,0.70186,0.44629,1.37002,1.19183,1.24019,0.00997011,0.00997011,0.00997011
37,30716.5,1.52586,1.40845,1.38306,0.70513,0.65446,0.69774,0.43663,1.36595,1.21615,1.23794,0.00996838,0.00996838,0.00996838
38,31368.1,1.52073,1.4009,1.37898,0.7462,0.66332,0.72153,0.44962,1.36314,1.19823,1.23531,0.0099666,0.0099666,0.0099666
39,32151.1,1.51854,1.39577,1.37622,0.73508,0.66455,0.71214,0.44307,1.37027,1.20919,1.23499,0.00996477,0.00996477,0.00996477
40,32904.1,1.50909,1.39139,1.37946,0.75879,0.65693,0.72303,0.45282,1.36023,1.197,1.22605,0.00996289,0.00996289,0.00996289
41,33996,1.52292,1.39406,1.39166,0.73633,0.68084,0.72175,0.45286,1.35479,1.17506,1.22912,0.00996097,0.00996097,0.00996097
42,34590.3,1.51562,1.40361,1.38584,0.75106,0.66087,0.74482,0.47277,1.35553,1.19028,1.22756,0.00995899,0.00995899,0.00995899
43,35563.7,1.51195,1.37969,1.37266,0.7488,0.6649,0.72021,0.44851,1.34473,1.19145,1.2197,0.00995697,0.00995697,0.00995697
44,36395.6,1.4951,1.36932,1.36818,0.73099,0.69266,0.73425,0.46535,1.35116,1.17441,1.22137,0.0099549,0.0099549,0.0099549
45,37280.9,1.50051,1.36751,1.37218,0.7318,0.68567,0.73591,0.47267,1.34134,1.16255,1.22161,0.00995278,0.00995278,0.00995278
46,37943,1.50296,1.36968,1.36215,0.70349,0.66448,0.73154,0.46505,1.33803,1.15011,1.21421,0.00995062,0.00995062,0.00995062
47,38690.2,1.48909,1.35398,1.36262,0.72103,0.63369,0.72059,0.4622,1.33805,1.17492,1.21032,0.0099484,0.0099484,0.0099484
48,39513.4,1.49235,1.36444,1.37111,0.7872,0.68583,0.73725,0.47695,1.33776,1.15883,1.21154,0.00994614,0.00994614,0.00994614
49,40418,1.49259,1.35156,1.36346,0.64918,0.74395,0.74099,0.47061,1.33231,1.13171,1.2124,0.00994383,0.00994383,0.00994383
