epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,997.508,1.93282,2.56844,1.61714,0.54914,0.25566,0.24692,0.12653,2.04766,2.2392,1.70073,0.00332384,0.00332384,0.00332384
2,1851.67,1.77779,1.82534,1.47805,0.57703,0.36698,0.38915,0.2027,1.78041,1.90972,1.47172,0.00665715,0.00665715,0.00665715
3,2641.32,1.9016,1.99429,1.57897,0.63011,0.17401,0.16898,0.0713,2.17572,2.68082,1.7996,0.00999041,0.00999041,0.00999041
4,3331.91,1.95814,2.08507,1.64323,0.30871,0.28162,0.22902,0.10078,2.01916,2.61987,1.70509,0.00999978,0.00999978,0.00999978
5,3905.86,1.88727,1.97592,1.59919,0.633,0.23278,0.28681,0.12672,1.80427,2.2803,1.57542,0.00999961,0.00999961,0.00999961
6,4647.47,1.83846,1.90362,1.57389,0.75883,0.23056,0.27203,0.13132,1.88569,2.30921,1.60674,0.00999939,0.00999939,0.00999939
7,5402.25,1.79351,1.84933,1.54863,0.55869,0.35826,0.36902,0.18608,1.7632,2.06546,1.53255,0.00999912,0.00999912,0.00999912
8,6318.26,1.77911,1.80168,1.53264,0.70197,0.15995,0.18999,0.08893,1.94055,2.41918,1.57027,0.0099988,0.0099988,0.0099988
9,6944.66,1.74209,1.7559,1.51666,0.54675,0.45859,0.44695,0.24795,1.67123,1.98056,1.44912,0.00999844,0.00999844,0.00999844
10,7753.31,1.72795,1.74393,1.50093,0.55013,0.51838,0.50958,0.2866,1.61288,1.71302,1.42238,0.00999802,0.00999802,0.00999802
11,8542,1.7118,1.69427,1.48402,0.65037,0.3274,0.37468,0.20823,1.71614,1.90759,1.47082,0.00999756,0.00999756,0.00999756
12,9417.02,1.69473,1.6863,1.4763,0.68318,0.4376,0.48449,0.27519,1.57786,1.61956,1.37837,0.00999704,0.00999704,0.00999704
13,10432,1.6794,1.66289,1.46855,0.53545,0.52747,0.53996,0.30754,1.61503,1.73112,1.40393,0.00999648,0.00999648,0.00999648
14,11433.8,1.66031,1.63705,1.46189,0.5897,0.50799,0.54731,0.29629,1.57667,1.61145,1.35071,0.00999587,0.00999587,0.00999587
15,12218.4,1.6552,1.63308,1.46952,0.62133,0.52914,0.54305,0.30088,1.53582,1.53055,1.33498,0.00999521,0.00999521,0.00999521
16,12990.4,1.64625,1.61057,1.4587,0.73363,0.49868,0.58515,0.33893,1.49932,1.55141,1.31778,0.0099945,0.0099945,0.0099945
17,13938.8,1.64335,1.59578,1.45185,0.66273,0.49801,0.56047,0.31722,1.51173,1.53777,1.33178,0.00999375,0.00999375,0.00999375
18,14549.8,1.63287,1.59215,1.43992,0.61336,0.5748,0.58625,0.33061,1.50701,1.4334,1.32263,0.00999294,0.00999294,0.00999294
19,15460.4,1.61785,1.57392,1.43702,0.66143,0.59665,0.62399,0.36188,1.48885,1.44802,1.30159,0.00999209,0.00999209,0.00999209
20,16078.4,1.61336,1.55922,1.4299,0.70217,0.56637,0.66345,0.39353,1.45414,1.37402,1.28876,0.00999118,0.00999118,0.00999118
21,16855,1.61231,1.54005,1.42097,0.62802,0.56713,0.62005,0.37166,1.49703,1.5041,1.3184,0.00999023,0.00999023,0.00999023
22,17841.4,1.5995,1.53553,1.41805,0.69297,0.54321,0.58788,0.33556,1.49644,1.58323,1.31256,0.00998923,0.00998923,0.00998923
23,18561.8,1.59632,1.53299,1.41396,0.71608,0.5645,0.6487,0.37874,1.44871,1.401,1.27919,0.00998818,0.00998818,0.00998818
24,19222.8,1.58801,1.52264,1.41648,0.5949,0.57896,0.62535,0.37414,1.44834,1.4566,1.28818,0.00998708,0.00998708,0.00998708
25,20022.7,1.58724,1.50394,1.40372,0.6043,0.60683,0.64481,0.39851,1.45143,1.36603,1.27478,0.00998594,0.00998594,0.00998594
26,20697,1.5748,1.49359,1.39939,0.69979,0.59026,0.65878,0.37499,1.46429,1.40372,1.28439,0.00998474,0.00998474,0.00998474
27,21281.3,1.57742,1.49108,1.40001,0.68825,0.62067,0.66383,0.39114,1.43897,1.38915,1.26509,0.0099835,0.0099835,0.0099835
28,22151.9,1.57254,1.48713,1.39917,0.65715,0.59354,0.67565,0.41854,1.42303,1.32234,1.25963,0.0099822,0.0099822,0.0099822
29,22886.9,1.56549,1.47214,1.39166,0.74996,0.54508,0.66953,0.39378,1.44469,1.38336,1.27161,0.00998086,0.00998086,0.00998086
30,23648.8,1.5627,1.47383,1.39254,0.70518,0.57901,0.66132,0.39611,1.43888,1.36113,1.26724,0.00997947,0.00997947,0.00997947
31,24557.1,1.55546,1.45757,1.38541,0.62654,0.62112,0.6553,0.40626,1.43066,1.33152,1.26809,0.00997803,0.00997803,0.00997803
32,24990,1.55256,1.44911,1.37538,0.74256,0.6265,0.69554,0.41367,1.41617,1.31113,1.24581,0.00997654,0.00997654,0.00997654
33,25868.7,1.54901,1.45149,1.37712,0.71537,0.62867,0.69029,0.41997,1.41081,1.28028,1.24143,0.00997501,0.00997501,0.00997501
34,26980.5,1.54791,1.44199,1.37887,0.64634,0.64727,0.67954,0.41312,1.39427,1.29315,1.24611,0.00997342,0.00997342,0.00997342
35,27925.8,1.544,1.44411,1.37742,0.65469,0.69147,0.70165,0.44115,1.38764,1.30202,1.22941,0.00997179,0.00997179,0.00997179
36,28753.6,1.54429,1.43202,1.37442,0.64589,0.66898,0.68144,0.42669,1.38986,1.27975,1.23681,0.00997011,0.00997011,0.00997011
37,29537.9,1.52845,1.42917,1.37251,0.57683,0.68951,0.6954,0.43257,1.38389,1.23522,1.22967,0.00996838,0.00996838,0.00996838
38,30132.6,1.5406,1.42107,1.36965,0.63615,0.64388,0.69693,0.43763,1.38953,1.26286,1.23122,0.0099666,0.0099666,0.0099666
39,30858.7,1.52792,1.4178,1.36651,0.739,0.65574,0.70561,0.45195,1.37197,1.2317,1.21894,0.00996477,0.00996477,0.00996477
40,31640.8,1.52548,1.4038,1.36674,0.71291,0.66355,0.71126,0.45139,1.36782,1.22626,1.21679,0.00996289,0.00996289,0.00996289
41,32490.2,1.52358,1.41058,1.36464,0.76315,0.64893,0.7132,0.44766,1.38093,1.22447,1.22751,0.00996097,0.00996097,0.00996097
42,33256,1.52009,1.40062,1.36215,0.7242,0.68677,0.72338,0.4565,1.37255,1.19516,1.22328,0.00995899,0.00995899,0.00995899
43,33973.3,1.51725,1.40311,1.36326,0.70631,0.70093,0.72205,0.45779,1.36524,1.19407,1.2128,0.00995697,0.00995697,0.00995697
44,34810.3,1.51184,1.38955,1.35482,0.70379,0.66973,0.7093,0.45191,1.36558,1.20249,1.22144,0.0099549,0.0099549,0.0099549
45,35741.3,1.51383,1.38735,1.35731,0.79031,0.64654,0.72947,0.46794,1.3638,1.2106,1.21792,0.00995278,0.00995278,0.00995278
46,36605,1.5031,1.38478,1.34992,0.71366,0.68347,0.72403,0.46393,1.36096,1.17655,1.21171,0.00995062,0.00995062,0.00995062
47,37092.8,1.50453,1.38288,1.34795,0.73473,0.68697,0.72538,0.46486,1.35511,1.16423,1.20566,0.0099484,0.0099484,0.0099484
48,37987.7,1.5052,1.37995,1.34819,0.74897,0.68754,0.72616,0.46326,1.35298,1.16562,1.20656,0.00994614,0.00994614,0.00994614
49,38782.6,1.49554,1.36999,1.34154,0.76385,0.67433,0.72979,0.46309,1.35556,1.17448,1.20735,0.00994383,0.00994383,0.00994383
