epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,365.812,2.14924,3.96583,1.74465,0.86891,0.0652,0.10914,0.05708,1.91705,3.26179,1.57296,0.0032906,0.0032906,0.0032906
2,753.051,1.9898,2.79637,1.61862,0.69318,0.13019,0.09972,0.04323,2.18916,2.84521,1.87386,0.00662392,0.00662392,0.00662392
3,1102.57,1.97839,2.47476,1.59288,0.71819,0.03953,0.01569,0.00588,2.64535,8.73629,2.60484,0.00995717,0.00995717,0.00995717
4,1277.46,1.98784,2.30976,1.59627,0.56081,0.11307,0.09675,0.05167,2.32538,3.95181,2.01607,0.00999978,0.00999978,0.00999978
5,1581.52,1.91047,2.17102,1.55371,0.49701,0.14212,0.12308,0.05288,2.41322,3.38174,2.02686,0.00999961,0.00999961,0.00999961
6,1856.9,1.87926,2.05324,1.53452,0.61053,0.0795,0.10584,0.04504,2.47684,3.47462,2.18603,0.00999939,0.00999939,0.00999939
7,2130.95,1.83433,2.01244,1.52258,0.39769,0.28939,0.21895,0.10139,2.02399,2.89125,1.69074,0.00999912,0.00999912,0.00999912
8,2553.79,1.80686,1.94302,1.50858,0.40778,0.31923,0.27623,0.13668,1.82681,2.40929,1.58061,0.0099988,0.0099988,0.0099988
9,2833.29,1.80444,1.89019,1.48456,0.6579,0.20513,0.24399,0.11749,1.88142,3.14183,1.60276,0.00999844,0.00999844,0.00999844
10,3150.61,1.7724,1.87202,1.48681,0.48526,0.29103,0.28197,0.1501,1.86828,2.70464,1.55311,0.00999802,0.00999802,0.00999802
11,3341.12,1.75877,1.82782,1.47111,0.55717,0.3592,0.3734,0.20164,1.70353,1.98079,1.42072,0.00999756,0.00999756,0.00999756
12,3693.72,1.75132,1.81647,1.46237,0.52958,0.32064,0.33986,0.17458,1.6791,1.97023,1.41653,0.00999704,0.00999704,0.00999704
13,4021.84,1.7432,1.78796,1.45318,0.5793,0.41177,0.42279,0.22771,1.68933,1.86812,1.37934,0.00999648,0.00999648,0.00999648
14,4371.66,1.72725,1.75956,1.44895,0.60926,0.34805,0.39639,0.20027,1.80273,2.1213,1.50015,0.00999587,0.00999587,0.00999587
15,4755.48,1.72369,1.75071,1.44642,0.66948,0.41161,0.50749,0.27181,1.67741,1.97553,1.42562,0.00999521,0.00999521,0.00999521
16,5041.88,1.71875,1.73843,1.4413,0.7062,0.38478,0.44234,0.24801,1.65316,1.93881,1.38686,0.0099945,0.0099945,0.0099945
17,5388.55,1.72268,1.73566,1.44432,0.75022,0.30092,0.39104,0.20292,1.68112,1.79348,1.38974,0.00999375,0.00999375,0.00999375
18,5721.37,1.71246,1.74073,1.43376,0.64556,0.49175,0.53001,0.2941,1.621,1.8964,1.36483,0.00999294,0.00999294,0.00999294
19,5997.12,1.70435,1.70414,1.4236,0.61484,0.44928,0.49622,0.2663,1.63319,1.73091,1.38664,0.00999209,0.00999209,0.00999209
20,6261.82,1.69815,1.70624,1.42153,0.63741,0.42682,0.46834,0.24987,1.6731,2.08704,1.42603,0.00999118,0.00999118,0.00999118
