epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,903.911,2.06185,2.89489,1.68652,0.65393,0.23893,0.26366,0.13374,1.72432,2.01834,1.38502,0.00331276,0.00331276,0.00331276
2,1332.77,1.83838,1.93916,1.47329,0.42103,0.2942,0.2565,0.13294,2.0501,3.09703,1.73874,0.00664607,0.00664607,0.00664607
3,1892.35,1.92872,2.03059,1.54024,0.43262,0.15133,0.07061,0.03417,2.53859,3.63029,2.20263,0.00997933,0.00997933,0.00997933
4,2391.54,1.9774,2.13008,1.61937,0.38562,0.19655,0.16538,0.07143,2.12651,3.70736,1.81527,0.00999978,0.00999978,0.00999978
1,627,2.06185,2.89489,1.68652,0.65393,0.23893,0.26366,0.13374,1.72432,2.01834,1.38502,0.00331276,0.00331276,0.00331276
2,997.887,1.83838,1.93916,1.47329,0.42103,0.2942,0.2565,0.13294,2.0501,3.09703,1.73874,0.00664607,0.00664607,0.00664607
3,1411.01,1.92872,2.03059,1.54024,0.43262,0.15133,0.07061,0.03417,2.53859,3.63029,2.20263,0.00997933,0.00997933,0.00997933
4,1817.65,1.9774,2.13008,1.61937,0.38562,0.19655,0.16538,0.07143,2.12651,3.70736,1.81527,0.00999978,0.00999978,0.00999978
5,2288.76,1.90666,1.9721,1.5683,0.59463,0.09172,0.08215,0.03084,2.37944,3.34819,2.0981,0.00999961,0.00999961,0.00999961
6,2653.44,1.86163,1.92107,1.5416,0.49063,0.11514,0.1125,0.04928,2.27513,3.1658,2.0241,0.00999939,0.00999939,0.00999939
7,3025.4,1.82744,1.86478,1.5231,0.69802,0.2388,0.30753,0.15389,1.86929,2.5661,1.55219,0.00999912,0.00999912,0.00999912
8,3435.69,1.79409,1.82637,1.50066,0.54041,0.17375,0.16803,0.07972,2.37017,3.17468,2.03605,0.0099988,0.0099988,0.0099988
