epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.615,1.84883,2.31421,1.58558,0.62619,0.43775,0.43898,0.23474,1.61636,1.58827,1.35423,0.00333062,0.00333062,0.00333062
2,578.489,1.78429,1.82695,1.528,0.63677,0.43349,0.44986,0.25065,1.72188,1.68712,1.44589,0.00666394,0.00666394,0.00666394
3,850.837,1.88816,1.98265,1.60485,0.5345,0.26123,0.25586,0.11619,2.03768,2.41777,1.75875,0.00999719,0.00999719,0.00999719
4,1121.76,1.95275,2.08984,1.66348,0.43462,0.32361,0.32692,0.15808,1.85314,1.95456,1.56278,0.00999978,0.00999978,0.00999978
5,1394.17,1.87707,1.98081,1.61833,0.43519,0.38006,0.35711,0.17831,1.72124,1.92386,1.50171,0.00999961,0.00999961,0.00999961
6,1666.45,1.82302,1.90761,1.58912,0.47077,0.47579,0.42241,0.21619,1.64565,1.86991,1.43677,0.00999939,0.00999939,0.00999939
7,1934.53,1.79467,1.8457,1.57125,0.50923,0.52929,0.51858,0.26748,1.62092,1.6467,1.40748,0.00999912,0.00999912,0.00999912
8,2206.45,1.77022,1.81071,1.55452,0.58658,0.35989,0.38119,0.18892,1.92675,2.28017,1.70563,0.0099988,0.0099988,0.0099988
9,2476.28,1.73877,1.76522,1.53395,0.59539,0.45935,0.51703,0.2802,1.56835,1.66935,1.39668,0.00999844,0.00999844,0.00999844
10,2744.44,1.71374,1.72215,1.51531,0.64375,0.53148,0.53005,0.29149,1.55358,1.56696,1.37805,0.00999802,0.00999802,0.00999802
11,3014.15,1.69422,1.69251,1.50498,0.59897,0.55016,0.59866,0.34028,1.51192,1.52328,1.35195,0.00999756,0.00999756,0.00999756
12,3284.22,1.67581,1.67005,1.49176,0.64219,0.52481,0.57614,0.31993,1.53149,1.51967,1.33952,0.00999704,0.00999704,0.00999704
13,3555.64,1.66514,1.65007,1.48882,0.56315,0.54145,0.57077,0.33311,1.52494,1.50125,1.3578,0.00999648,0.00999648,0.00999648
1,1471.71,1.83012,2.32339,1.57135,0.58012,0.41104,0.42024,0.25315,1.6071,1.70799,1.39391,0.00332858,0.00332858,0.00332858
2,3463.51,1.75893,1.79362,1.50902,0.71171,0.30784,0.40878,0.21317,1.65249,1.85493,1.4008,0.0066619,0.0066619,0.0066619
3,4847.97,1.88323,1.97349,1.61036,0.3901,0.22252,0.2013,0.08214,2.11789,3.02256,1.84258,0.00999515,0.00999515,0.00999515
4,6774.94,1.9087,2.03062,1.64656,0.50707,0.27723,0.30185,0.14695,1.85009,2.14873,1.58034,0.00999978,0.00999978,0.00999978
5,8819.67,1.84663,1.91531,1.59305,0.56724,0.30641,0.34726,0.18064,1.71256,1.86184,1.46859,0.00999961,0.00999961,0.00999961
6,11180.4,1.80464,1.85174,1.56543,0.39367,0.37119,0.39178,0.19767,1.74878,1.99841,1.51741,0.00999939,0.00999939,0.00999939
7,13248.1,1.7716,1.80881,1.55079,0.49037,0.47481,0.46366,0.24281,1.61285,1.67368,1.39698,0.00999912,0.00999912,0.00999912
8,15118,1.73493,1.76305,1.53535,0.50165,0.35535,0.37364,0.19434,1.72023,1.98481,1.49295,0.0099988,0.0099988,0.0099988
