epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0731,4.07791,8.14039,3.23339,0.60843,0.10474,0.07093,0.03588,4.05273,5.63668,3.35437,0.00332112,0.00332112,0.00332112
2,145.948,3.89341,6.24216,3.06345,0.49584,0.07493,0.06033,0.02914,4.25227,6.17797,3.58922,0.00665444,0.00665444,0.00665444
3,214.303,3.87265,5.65564,3.0769,0.61931,0.07386,0.0533,0.02108,4.48077,6.46821,3.69024,0.00998769,0.00998769,0.00998769
4,281.353,3.96361,5.26296,3.16017,0.35145,0.15224,0.0996,0.04317,4.19298,6.4358,3.65379,0.00999978,0.00999978,0.00999978
5,348.234,3.85298,4.88451,3.09706,0.54646,0.16954,0.16226,0.075,3.74962,5.40198,3.1439,0.00999961,0.00999961,0.00999961
6,415.516,3.76783,4.69917,3.05037,0.58616,0.161,0.18433,0.08455,3.73634,5.84523,3.15803,0.00999939,0.00999939,0.00999939
7,485.384,3.73723,4.53982,3.00965,0.57759,0.24561,0.26333,0.12784,3.36278,4.41492,2.81017,0.00999912,0.00999912,0.00999912
8,551.76,3.68909,4.4115,2.98121,0.47827,0.32736,0.29105,0.15406,3.42129,4.27474,2.87517,0.0099988,0.0099988,0.0099988
9,620.371,3.65571,4.29846,2.97462,0.57105,0.21168,0.2231,0.11545,3.7506,5.04833,3.23283,0.00999844,0.00999844,0.00999844
10,690.401,3.65091,4.24469,2.95227,0.54576,0.3356,0.31573,0.16756,3.30234,4.01671,2.73625,0.00999802,0.00999802,0.00999802
11,757.695,3.63099,4.17797,2.94377,0.52123,0.37115,0.34835,0.19064,3.33969,4.12429,2.78035,0.00999756,0.00999756,0.00999756
12,827.29,3.59418,4.09314,2.90809,0.62396,0.3662,0.41251,0.23058,3.25978,3.83921,2.69701,0.00999704,0.00999704,0.00999704
13,894.32,3.61793,4.07993,2.89893,0.55467,0.47278,0.45597,0.24521,3.22442,3.62145,2.66125,0.00999648,0.00999648,0.00999648
14,961.126,3.5907,3.99311,2.86244,0.6638,0.29313,0.371,0.1868,3.37325,4.06214,2.76314,0.00999587,0.00999587,0.00999587
15,1030.98,3.58214,3.98801,2.87822,0.55934,0.41312,0.40984,0.21836,3.2606,3.60811,2.68787,0.00999521,0.00999521,0.00999521
16,1097.75,3.55078,3.951,2.86703,0.56216,0.38601,0.4312,0.24868,3.19335,3.36663,2.63006,0.0099945,0.0099945,0.0099945
17,1168.08,3.55091,3.92191,2.86492,0.62394,0.3354,0.36955,0.19229,3.39722,3.85807,2.78165,0.00999375,0.00999375,0.00999375
18,1236.07,3.52722,3.9021,2.84222,0.51374,0.45513,0.47638,0.2641,3.13556,3.22321,2.5651,0.00999294,0.00999294,0.00999294
19,1305.69,3.52769,3.8601,2.86256,0.5842,0.45572,0.47331,0.2561,3.2361,3.4989,2.69068,0.00999209,0.00999209,0.00999209
20,1374.75,3.50999,3.84037,2.84844,0.66467,0.25787,0.3114,0.15868,3.56016,4.98611,2.94598,0.00999118,0.00999118,0.00999118
21,1443.71,3.49035,3.80029,2.82699,0.53383,0.41284,0.44961,0.25092,3.16928,3.4448,2.60569,0.00999023,0.00999023,0.00999023
22,1513.5,3.49572,3.78393,2.80607,0.51102,0.54544,0.51462,0.28837,3.12497,3.24992,2.59025,0.00998923,0.00998923,0.00998923
23,1582.43,3.49789,3.78021,2.82763,0.64739,0.43235,0.48225,0.26776,3.16991,3.49871,2.63888,0.00998818,0.00998818,0.00998818
24,1650.32,3.48285,3.75689,2.82049,0.66117,0.38574,0.48325,0.2828,3.1546,3.43358,2.63502,0.00998708,0.00998708,0.00998708
25,1718.73,3.47658,3.73294,2.80912,0.5176,0.50327,0.5635,0.31625,3.04917,3.17989,2.51551,0.00998594,0.00998594,0.00998594
26,1786.74,3.45387,3.71462,2.80549,0.56801,0.5119,0.53152,0.29187,3.09233,3.24536,2.55013,0.00998474,0.00998474,0.00998474
27,1852.52,3.47829,3.71825,2.7869,0.54353,0.49833,0.52576,0.29385,3.12135,3.17854,2.56817,0.0099835,0.0099835,0.0099835
28,1919.15,3.44445,3.67575,2.78511,0.61151,0.46598,0.55093,0.31929,3.04951,3.18507,2.5169,0.0099822,0.0099822,0.0099822
29,1986.68,3.44466,3.67254,2.77341,0.57885,0.54215,0.56616,0.32522,3.03142,3.11096,2.5194,0.00998086,0.00998086,0.00998086
30,2053.94,3.46456,3.64056,2.77235,0.5733,0.61145,0.60055,0.32892,3.06033,3.07921,2.51647,0.00997947,0.00997947,0.00997947
31,2122.43,3.42469,3.62238,2.77226,0.64517,0.49218,0.56342,0.31424,3.06859,3.14391,2.50724,0.00997803,0.00997803,0.00997803
32,2192.46,3.42059,3.61171,2.756,0.5907,0.5468,0.57915,0.34081,3.03908,3.02274,2.50291,0.00997654,0.00997654,0.00997654
33,2260.21,3.41301,3.61293,2.76289,0.52065,0.5527,0.56784,0.33204,3.0146,3.13504,2.50512,0.00997501,0.00997501,0.00997501
34,2328.33,3.41563,3.59333,2.76523,0.56732,0.499,0.53297,0.30929,3.07237,3.04816,2.51794,0.00997342,0.00997342,0.00997342
35,2396.19,3.43287,3.60169,2.7613,0.6379,0.46303,0.54413,0.32272,3.04525,3.08306,2.49489,0.00997179,0.00997179,0.00997179
36,2464.29,3.41732,3.58291,2.75103,0.51946,0.55265,0.55879,0.32904,3.02831,3.007,2.51613,0.00997011,0.00997011,0.00997011
37,2531.52,3.37883,3.55904,2.74402,0.58204,0.50687,0.58412,0.33932,3.0123,2.97152,2.47073,0.00996838,0.00996838,0.00996838
38,2600.65,3.43394,3.55826,2.73672,0.60805,0.57302,0.60638,0.37572,2.99687,2.99423,2.47062,0.0099666,0.0099666,0.0099666
39,2669.29,3.39255,3.52715,2.73667,0.65453,0.53164,0.58965,0.35557,3.01589,2.98943,2.46089,0.00996477,0.00996477,0.00996477
40,2735.56,3.39352,3.52841,2.73591,0.57267,0.5995,0.63145,0.37303,2.97714,2.97213,2.44409,0.00996289,0.00996289,0.00996289
41,2800.94,3.39677,3.5307,2.73514,0.57314,0.53077,0.57292,0.33093,3.0831,3.24359,2.57606,0.00996097,0.00996097,0.00996097
42,2870.34,3.39607,3.51543,2.72901,0.51906,0.56257,0.58528,0.35195,2.97406,2.88539,2.44638,0.00995899,0.00995899,0.00995899
43,2937.35,3.40252,3.52123,2.71108,0.63279,0.54982,0.59554,0.35472,2.97181,2.92334,2.44311,0.00995697,0.00995697,0.00995697
44,3005.04,3.38391,3.50219,2.71953,0.55011,0.56978,0.5826,0.35092,2.94563,2.92624,2.45648,0.0099549,0.0099549,0.0099549
45,3071.5,3.38121,3.49686,2.72376,0.62776,0.54272,0.5827,0.33496,2.98182,2.96732,2.43998,0.00995278,0.00995278,0.00995278
46,3138.01,3.38354,3.49823,2.71929,0.58309,0.58571,0.61198,0.37215,2.95211,2.83246,2.42155,0.00995062,0.00995062,0.00995062
47,3203.74,3.37161,3.47643,2.71533,0.58987,0.49335,0.59014,0.34901,2.94693,2.92331,2.42634,0.0099484,0.0099484,0.0099484
48,3271.8,3.35978,3.48538,2.72666,0.61654,0.5631,0.61682,0.36809,2.96075,2.83846,2.45661,0.00994614,0.00994614,0.00994614
49,3340.54,3.37668,3.48457,2.7113,0.61887,0.57549,0.63468,0.38113,2.94103,2.81076,2.43348,0.00994383,0.00994383,0.00994383
50,3406.3,3.36211,3.44988,2.70388,0.64336,0.51584,0.61839,0.36911,2.92432,2.81972,2.41225,0.00994147,0.00994147,0.00994147
51,3472.94,3.34736,3.44355,2.71262,0.6807,0.56876,0.62793,0.38695,2.91739,2.80366,2.40672,0.00993906,0.00993906,0.00993906
52,3543.36,3.35153,3.44161,2.71459,0.64021,0.61686,0.64154,0.39145,2.90504,2.76452,2.39856,0.0099366,0.0099366,0.0099366
53,3611.19,3.35105,3.46598,2.7194,0.67553,0.58471,0.65385,0.40751,2.90284,2.80705,2.40832,0.0099341,0.0099341,0.0099341
54,3679.32,3.3467,3.44517,2.71082,0.6376,0.63353,0.65595,0.39285,2.92831,2.77148,2.41993,0.00993154,0.00993154,0.00993154
55,3748.13,3.3529,3.44259,2.71359,0.60779,0.6439,0.64998,0.39712,2.918,2.77222,2.40702,0.00992894,0.00992894,0.00992894
56,3815.54,3.31542,3.39716,2.70777,0.70334,0.58745,0.65981,0.40001,2.89275,2.75159,2.40073,0.00992629,0.00992629,0.00992629
57,3883.54,3.37873,3.43691,2.70354,0.68228,0.63129,0.67598,0.41003,2.91481,2.72013,2.4046,0.00992359,0.00992359,0.00992359
58,3951.79,3.33627,3.405,2.70781,0.67664,0.59022,0.6522,0.40113,2.89699,2.7369,2.39164,0.00992085,0.00992085,0.00992085
59,4019,3.32844,3.3857,2.70591,0.59061,0.63091,0.64288,0.4016,2.90627,2.73394,2.4009,0.00991805,0.00991805,0.00991805
60,4090.29,3.35203,3.40628,2.68945,0.60145,0.63377,0.65091,0.39957,2.8858,2.76,2.38897,0.00991521,0.00991521,0.00991521
61,4157.81,3.32996,3.40521,2.68558,0.61293,0.63487,0.65647,0.40687,2.8887,2.71128,2.38528,0.00991232,0.00991232,0.00991232
62,4226.35,3.32303,3.37724,2.68387,0.65781,0.62356,0.6469,0.40633,2.87782,2.75715,2.37526,0.00990938,0.00990938,0.00990938
63,4292.46,3.34171,3.38964,2.68232,0.67285,0.61563,0.65676,0.40799,2.89053,2.70849,2.3799,0.0099064,0.0099064,0.0099064
64,4361.02,3.33958,3.39199,2.68463,0.69657,0.6157,0.6606,0.40777,2.87789,2.72414,2.37552,0.00990336,0.00990336,0.00990336
65,4430.69,3.32519,3.367,2.69832,0.6699,0.65678,0.68152,0.41442,2.87842,2.70757,2.377,0.00990028,0.00990028,0.00990028
